year,age_group,sex,education_category,education_type,region,value
2020,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,78.5
2021,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,75.6
2022,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,80.2
2023,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,80.1
2024,55 - 59 years,Female,Tertiary,detailed,Eastern and Midland,84.8
2019,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,59.3
2020,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,53.6
2021,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,50.2
2022,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,56.2
2023,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,51.7
2024,60 - 64 years,Female,Tertiary,detailed,Eastern and Midland,67.2
2019,All ages,Female,Tertiary,detailed,Eastern and Midland,82.1
2020,All ages,Female,Tertiary,detailed,Eastern and Midland,79.0
2021,All ages,Female,Tertiary,detailed,Eastern and Midland,83.1
2022,All ages,Female,Tertiary,detailed,Eastern and Midland,83.6
2023,All ages,Female,Tertiary,detailed,Eastern and Midland,85.5
2024,All ages,Female,Tertiary,detailed,Eastern and Midland,84.9
2019,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,60.3
2020,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,49.3
2021,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,54.5
2022,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.0
2023,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,63.8
2024,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,63.5
2019,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.3
2020,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,55.6
2022,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.3
2023,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,78.6
2024,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.9
2019,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.8
2020,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,55.5
2021,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.1
2022,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,71.7
2023,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,61.1
2024,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.4
2019,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,65.8
2020,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,56.1
2021,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,59.7
2022,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,65.0
2023,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,60.0
2024,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,71.6
2019,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,68.6
2020,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.0
2021,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.3
2022,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,60.6
2023,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.0
2024,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.7
2019,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.3
2020,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.1
2021,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,61.8
2022,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,80.8
2023,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.8
2024,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.6
2019,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.8
2020,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.1
2021,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.9
2022,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,75.5
2023,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.2
2024,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,74.5
2019,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.1
2020,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.0
2021,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,65.8
2022,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,63.2
2023,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,51.9
2024,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,62.7
2019,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,51.3
2020,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,43.6
2021,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,49.5
2022,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,49.8
2023,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,45.6
2024,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,49.7
2019,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.4
2020,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,58.0
2021,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,61.6
2022,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.2
2023,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,63.2
2024,All ages,Female,Upper Secondary & Post-secondary,detailed,Eastern and Midland,68.5
2019,20 - 24 years,Male,All Levels,all,Eastern and Midland,67.9
2020,20 - 24 years,Male,All Levels,all,Eastern and Midland,60.3
2021,20 - 24 years,Male,All Levels,all,Eastern and Midland,63.5
2022,20 - 24 years,Male,All Levels,all,Eastern and Midland,68.7
2023,20 - 24 years,Male,All Levels,all,Eastern and Midland,76.9
2024,20 - 24 years,Male,All Levels,all,Eastern and Midland,71.2
2019,25 - 29 years,Male,All Levels,all,Eastern and Midland,85.2
2020,25 - 29 years,Male,All Levels,all,Eastern and Midland,80.1
2021,25 - 29 years,Male,All Levels,all,Eastern and Midland,81.2
2022,25 - 29 years,Male,All Levels,all,Eastern and Midland,85.0
2023,25 - 29 years,Male,All Levels,all,Eastern and Midland,87.7
2024,25 - 29 years,Male,All Levels,all,Eastern and Midland,88.9
2019,30 - 34 years,Male,All Levels,all,Eastern and Midland,89.2
2020,30 - 34 years,Male,All Levels,all,Eastern and Midland,85.9
2021,30 - 34 years,Male,All Levels,all,Eastern and Midland,84.9
2022,30 - 34 years,Male,All Levels,all,Eastern and Midland,88.5
2023,30 - 34 years,Male,All Levels,all,Eastern and Midland,91.3
2024,30 - 34 years,Male,All Levels,all,Eastern and Midland,87.6
2019,35 - 39 years,Male,All Levels,all,Eastern and Midland,90.7
2020,35 - 39 years,Male,All Levels,all,Eastern and Midland,88.0
2021,35 - 39 years,Male,All Levels,all,Eastern and Midland,87.4
2022,35 - 39 years,Male,All Levels,all,Eastern and Midland,90.2
2023,35 - 39 years,Male,All Levels,all,Eastern and Midland,88.7
2024,35 - 39 years,Male,All Levels,all,Eastern and Midland,89.7
2019,40 - 44 years,Male,All Levels,all,Eastern and Midland,88.1
2020,40 - 44 years,Male,All Levels,all,Eastern and Midland,87.0
2021,40 - 44 years,Male,All Levels,all,Eastern and Midland,91.3
2022,40 - 44 years,Male,All Levels,all,Eastern and Midland,92.9
2023,40 - 44 years,Male,All Levels,all,Eastern and Midland,92.1
2024,40 - 44 years,Male,All Levels,all,Eastern and Midland,91.8
2019,45 - 49 years,Male,All Levels,all,Eastern and Midland,87.4
2020,45 - 49 years,Male,All Levels,all,Eastern and Midland,86.6
2021,45 - 49 years,Male,All Levels,all,Eastern and Midland,84.5
2022,45 - 49 years,Male,All Levels,all,Eastern and Midland,88.4
2023,45 - 49 years,Male,All Levels,all,Eastern and Midland,92.8
2024,45 - 49 years,Male,All Levels,all,Eastern and Midland,91.7
2019,50 - 54 years,Male,All Levels,all,Eastern and Midland,85.1
2020,50 - 54 years,Male,All Levels,all,Eastern and Midland,82.7
2021,50 - 54 years,Male,All Levels,all,Eastern and Midland,85.5
2022,50 - 54 years,Male,All Levels,all,Eastern and Midland,88.5
2023,50 - 54 years,Male,All Levels,all,Eastern and Midland,86.1
2024,50 - 54 years,Male,All Levels,all,Eastern and Midland,89.2
2019,55 - 59 years,Male,All Levels,all,Eastern and Midland,80.7
2020,55 - 59 years,Male,All Levels,all,Eastern and Midland,76.6
2021,55 - 59 years,Male,All Levels,all,Eastern and Midland,77.3
2022,55 - 59 years,Male,All Levels,all,Eastern and Midland,83.0
2023,55 - 59 years,Male,All Levels,all,Eastern and Midland,85.6
2024,55 - 59 years,Male,All Levels,all,Eastern and Midland,84.3
2019,60 - 64 years,Male,All Levels,all,Eastern and Midland,60.9
2020,60 - 64 years,Male,All Levels,all,Eastern and Midland,61.2
2021,60 - 64 years,Male,All Levels,all,Eastern and Midland,58.5
2022,60 - 64 years,Male,All Levels,all,Eastern and Midland,67.7
2023,60 - 64 years,Male,All Levels,all,Eastern and Midland,67.8
2024,60 - 64 years,Male,All Levels,all,Eastern and Midland,67.8
2019,All ages,Male,All Levels,all,Eastern and Midland,82.9
2020,All ages,Male,All Levels,all,Eastern and Midland,79.8
2021,All ages,Male,All Levels,all,Eastern and Midland,80.6
2022,All ages,Male,All Levels,all,Eastern and Midland,84.6
2023,All ages,Male,All Levels,all,Eastern and Midland,86.3
2024,All ages,Male,All Levels,all,Eastern and Midland,85.6
2019,20 - 24 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,36.5
2019,25 - 29 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,64.3
2019,30 - 34 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.5
2020,30 - 34 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,58.3
2019,35 - 39 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.8
2020,35 - 39 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.3
2019,40 - 44 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,68.7
2020,40 - 44 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,57.3
2019,45 - 49 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,71.4
2020,45 - 49 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,64.5
2019,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,70.7
2020,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,69.1
2021,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,79.9
2022,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,69.5
2023,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.0
2024,50 - 54 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,79.6
2019,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,71.2
2020,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.9
2021,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.0
2022,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,63.8
2023,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,77.6
2024,55 - 59 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,71.0
2019,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,54.1
2020,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,54.3
2021,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,49.2
2022,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,64.0
2023,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,58.6
2024,60 - 64 years,Male,Primary & Lower Secondary,detailed,Eastern and Midland,68.2
2019,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,65.3
2020,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,60.8
2021,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,65.9
2022,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,65.4
2023,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.7
2024,All ages,Male,Primary & Lower Secondary,detailed,Eastern and Midland,67.3
2019,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,82.9
2020,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,72.7
2021,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,75.3
2022,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,86.5
2023,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,88.9
2024,20 - 24 years,Male,Tertiary,detailed,Eastern and Midland,76.2
2019,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,90.6
2020,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,85.6
2021,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,90.8
2022,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,93.6
2023,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,92.5
2024,25 - 29 years,Male,Tertiary,detailed,Eastern and Midland,92.4
2019,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,94.3
2020,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,92.8
2021,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,87.7
2022,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,90.2
2023,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,93.7
2024,30 - 34 years,Male,Tertiary,detailed,Eastern and Midland,91.2
2019,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,94.1
2020,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,92.4
2021,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,93.6
2022,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,93.9
2023,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,94.8
2024,35 - 39 years,Male,Tertiary,detailed,Eastern and Midland,95.6
2019,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,93.7
2020,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,92.8
2021,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,96.2
2022,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,96.2
2023,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,96.1
2024,40 - 44 years,Male,Tertiary,detailed,Eastern and Midland,93.0
2019,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,92.5
2020,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,92.4
2021,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,89.9
2022,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,94.4
2023,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,95.4
2024,45 - 49 years,Male,Tertiary,detailed,Eastern and Midland,95.3
2019,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,93.4
2020,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,89.3
2021,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,88.8
2022,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,98.4
2023,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,94.3
2024,50 - 54 years,Male,Tertiary,detailed,Eastern and Midland,95.5
2019,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,89.8
2020,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,84.3
2021,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,85.6
2022,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,94.9
2023,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,86.6
2024,55 - 59 years,Male,Tertiary,detailed,Eastern and Midland,88.0
2019,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,66.4
2020,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,68.0
2021,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,68.2
2022,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,71.2
2023,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,73.3
2024,60 - 64 years,Male,Tertiary,detailed,Eastern and Midland,67.3
2019,All ages,Male,Tertiary,detailed,Eastern and Midland,90.8
2020,All ages,Male,Tertiary,detailed,Eastern and Midland,88.2
2021,All ages,Male,Tertiary,detailed,Eastern and Midland,88.7
2022,All ages,Male,Tertiary,detailed,Eastern and Midland,92.4
2023,All ages,Male,Tertiary,detailed,Eastern and Midland,92.1
2024,All ages,Male,Tertiary,detailed,Eastern and Midland,90.6
2019,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,65.5
2020,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,57.2
2021,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,61.0
2022,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.6
2023,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,72.3
2024,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,72.1
2019,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,81.6
2020,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.1
2021,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,69.2
2022,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.8
2023,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,80.3
2024,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.1
2019,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,87.2
2020,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.2
2021,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,78.7
2022,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,86.4
2023,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,90.9
2024,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,77.4
2019,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,91.8
2020,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.4
2021,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,86.8
2022,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,91.9
2023,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.2
2024,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.3
2019,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,85.5
2020,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.8
2021,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,87.9
2022,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,92.0
2023,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,90.1
2024,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,95.1
2019,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.5
2020,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,87.5
2021,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,85.8
2022,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,93.6
2023,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,92.4
2024,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,90.7
2019,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.9
2020,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,82.0
2021,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,84.6
2022,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.2
2023,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,82.3
2024,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.8
2019,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,78.4
2020,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,74.8
2021,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,73.3
2022,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.9
2023,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,87.8
2024,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,88.7
2019,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,62.2
2020,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,62.5
2021,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,64.4
2022,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,66.3
2023,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,67.1
2024,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,70.4
2019,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,80.4
2020,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.3
2021,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,76.1
2022,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,81.2
2023,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.1
2024,All ages,Male,Upper Secondary & Post-secondary,detailed,Eastern and Midland,83.3
2019,20 - 24 years,Both sexes,All Levels,all,Ireland,64.7
2020,20 - 24 years,Both sexes,All Levels,all,Ireland,56.5
2021,20 - 24 years,Both sexes,All Levels,all,Ireland,64.4
2022,20 - 24 years,Both sexes,All Levels,all,Ireland,66.5
2023,20 - 24 years,Both sexes,All Levels,all,Ireland,71.5
2024,20 - 24 years,Both sexes,All Levels,all,Ireland,70.3
2019,25 - 29 years,Both sexes,All Levels,all,Ireland,79.3
2020,25 - 29 years,Both sexes,All Levels,all,Ireland,74.4
2021,25 - 29 years,Both sexes,All Levels,all,Ireland,78.6
2022,25 - 29 years,Both sexes,All Levels,all,Ireland,82.2
2023,25 - 29 years,Both sexes,All Levels,all,Ireland,81.6
2024,25 - 29 years,Both sexes,All Levels,all,Ireland,83.9
2019,30 - 34 years,Both sexes,All Levels,all,Ireland,80.9
2020,30 - 34 years,Both sexes,All Levels,all,Ireland,77.7
2021,30 - 34 years,Both sexes,All Levels,all,Ireland,81.4
2022,30 - 34 years,Both sexes,All Levels,all,Ireland,82.8
2023,30 - 34 years,Both sexes,All Levels,all,Ireland,83.8
2024,30 - 34 years,Both sexes,All Levels,all,Ireland,83.9
2019,35 - 39 years,Both sexes,All Levels,all,Ireland,81.4
2020,35 - 39 years,Both sexes,All Levels,all,Ireland,78.1
2021,35 - 39 years,Both sexes,All Levels,all,Ireland,80.4
2022,35 - 39 years,Both sexes,All Levels,all,Ireland,83.3
2023,35 - 39 years,Both sexes,All Levels,all,Ireland,82.9
2024,35 - 39 years,Both sexes,All Levels,all,Ireland,85.0
2019,40 - 44 years,Both sexes,All Levels,all,Ireland,80.8
2020,40 - 44 years,Both sexes,All Levels,all,Ireland,79.2
2021,40 - 44 years,Both sexes,All Levels,all,Ireland,82.0
2022,40 - 44 years,Both sexes,All Levels,all,Ireland,84.4
2023,40 - 44 years,Both sexes,All Levels,all,Ireland,86.0
2024,40 - 44 years,Both sexes,All Levels,all,Ireland,84.9
2019,45 - 49 years,Both sexes,All Levels,all,Ireland,79.6
2020,45 - 49 years,Both sexes,All Levels,all,Ireland,78.9
2021,45 - 49 years,Both sexes,All Levels,all,Ireland,79.9
2022,45 - 49 years,Both sexes,All Levels,all,Ireland,82.7
2023,45 - 49 years,Both sexes,All Levels,all,Ireland,85.1
2024,45 - 49 years,Both sexes,All Levels,all,Ireland,85.2
2019,50 - 54 years,Both sexes,All Levels,all,Ireland,76.4
2020,50 - 54 years,Both sexes,All Levels,all,Ireland,75.2
2021,50 - 54 years,Both sexes,All Levels,all,Ireland,76.7
2022,50 - 54 years,Both sexes,All Levels,all,Ireland,80.6
2023,50 - 54 years,Both sexes,All Levels,all,Ireland,81.4
2024,50 - 54 years,Both sexes,All Levels,all,Ireland,82.7
2019,55 - 59 years,Both sexes,All Levels,all,Ireland,69.3
2020,55 - 59 years,Both sexes,All Levels,all,Ireland,68.2
2021,55 - 59 years,Both sexes,All Levels,all,Ireland,71.5
2022,55 - 59 years,Both sexes,All Levels,all,Ireland,74.9
2023,55 - 59 years,Both sexes,All Levels,all,Ireland,75.3
2024,55 - 59 years,Both sexes,All Levels,all,Ireland,76.2
2019,60 - 64 years,Both sexes,All Levels,all,Ireland,53.2
2020,60 - 64 years,Both sexes,All Levels,all,Ireland,51.8
2021,60 - 64 years,Both sexes,All Levels,all,Ireland,51.7
2022,60 - 64 years,Both sexes,All Levels,all,Ireland,57.9
2023,60 - 64 years,Both sexes,All Levels,all,Ireland,61.6
2024,60 - 64 years,Both sexes,All Levels,all,Ireland,59.3
2019,All ages,Both sexes,All Levels,all,Ireland,74.9
2020,All ages,Both sexes,All Levels,all,Ireland,72.0
2021,All ages,Both sexes,All Levels,all,Ireland,74.9
2022,All ages,Both sexes,All Levels,all,Ireland,78.1
2023,All ages,Both sexes,All Levels,all,Ireland,79.5
2024,All ages,Both sexes,All Levels,all,Ireland,79.8
2019,20 - 24 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,29.5
2020,20 - 24 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,31.9
2019,25 - 29 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,45.3
2020,25 - 29 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,32.1
2019,30 - 34 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,51.6
2020,30 - 34 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,51.3
2019,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,54.7
2020,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,49.4
